"行号","SKU","建议产品本体","建议方向Skill原子","建议商品标准化类型","建议是否待复核","建议待复核原因","风险提示补充","修正理由"
"1","2255155","无法识别（供应商标签）","待确认开发方向","待复核","是","供应商标签，无有效商品本体；应排除或补回原商品标题。","","人名不是商品本体，不能贡献产品方向证据。"
"2","2560337","呼吸解压项链","健康护理与康复辅助开发","标品","否","","","项链过泛，丢失决定功能方向的呼吸解压限定。"
"4","2560339","保暖宠物鞋套","宠物用品开发","标品","否","","","L码和4pcs是规格数量变体，应统一产品本体。"
"5","2560340","保暖宠物鞋套","宠物用品开发","标品","否","","","与第4行仅尺寸和适配体重不同，应归同一产品本体。"
"6","2560341","加长六角冲击套筒","通用工具开发","标品","否","","","24mm是规格，不应形成独立产品本体。"
"7","2560342","加长六角冲击套筒","通用工具开发","标品","否","","","与第6行仅尺寸不同，应归同一产品本体。"
"8","2560343","面部提拉贴带套装","美妆个护功能商品开发","标品","否","","面部提拉功效、皮肤接触材质与合规需核实。","核心用途是面部美容提拉，不是康复辅助。"
"18","2560326","汽车门板卡扣","汽车功能配件开发","标品","否","","","卡扣过泛，丢失车辆和门板适配对象。"
"21","2560329","面部按摩器","美妆个护功能商品开发","标品","否","","淋巴引流功效宣称及页面表达需核实。","主要购买用途是面部护理，不是康复辅助。"
"22","2560330","仿真装饰牙套","服饰饰品开发","非标","否","","口腔接触材质、年龄限制和误吞风险需核实。","本体是口腔佩戴造型件，不是玩具。"
"23","2560331","汽车后视镜装饰贴纸","DIY手工商品开发","非标","否","","","汽车后视镜是应用场景，装饰贴纸不具汽车功能。"
"27","2560335","夜光立体小动物树脂摆件","家居装饰商品开发","非标","否","","","数量清洗误删数字却保留采购备注，导致本体残句。"
"29","2600191","自行车液压碟刹活塞压入工具","通用工具开发","标品","否","","","商品本体明确是压入工具，自行车碟刹是作业对象和场景。"
"32","2600194","气球配重吊环磁铁挂钩24pcs","派对庆典商品开发","标品","否","","","购买决策由磁吸、承重、规格和数量主导，应判功能标品。"
"33","2600195","气球配重吊环磁铁挂钩30pcs","派对庆典商品开发","标品","否","","","与第32行仅数量不同，仍为功能标品。"
