创建月份,开发人,SKU,创建时间,产品名称,采购价(CNY),是否组合主SKU,本地产品状态,开品状态,是否定制,是否多件/套装,主方向,产品族,主题,商品标准化类型,价值主导类型,标准化判定依据,标准化判定置信度,是否需要人工复核,风险标记,第一层判断,判断说明,产品族首次出现月份（开发人）,产品族最近出现月份（开发人）,产品族出现月份数（开发人）,产品族出现月份列表（开发人）,本月产品族状态
2025-04,蒋舒,2520001,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6951,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520002,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6952,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520003,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6953,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520004,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6954,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520005,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6955,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520006,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6956,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520007,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6957,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520008,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6958,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520009,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6959,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520010,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6960,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520011,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6961,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520012,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6962,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520013,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6963,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520014,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6964,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
2025-04,蒋舒,2520015,2025-04-02 01:59:34,钻石画圆钻-画心尺寸30*30cm-复活节方形6965,9.9,否,在售,1,否,否,DIY手工与文具材料,钻石画,通用/无明显主题,非标,图像审美主导,标题包含非标特征词“钻石画”,高,否,无明显硬风险,符合团队主方向,轻小、可定制、可做套装或主题差异化，符合当前团队能力。,2025-04,2025-06,2,2025-04、2025-06,新增品线
