行号,SKU,建议产品本体,建议方向Skill原子,建议商品标准化类型,建议是否待复核,建议待复核原因,风险提示补充,修正理由
103,2560354,陶瓷情侣摆件,家居装饰商品开发,非标,否,,,产品本体混入礼赠场景、颜色和采购改价备注；场景不是本体
104,2560355,陶瓷情侣摆件,家居装饰商品开发,非标,否,,,产品本体混入礼赠场景、颜色和采购改价备注；场景不是本体
108,2560359,2026新年横幅插牌气球派对装饰套装,派对庆典商品开发,非标,否,,,当前本体在组件列表中途截断，不能稳定聚合产品方案
115,2560366,情人节不锈钢钥匙扣,服饰饰品开发,非标,否,,不锈钢材质声明复核,情人礼物是购买场景，不应把钥匙扣本体推入派对庆典方向
117,2560368,情人节爱心红唇纹身贴,美妆装饰商品开发,非标,否,,身体接触材料及纹身贴合规复核,当前本体漏掉原始标题的红字，主题事实不完整
118,2560369,粉色爱心水晶摆件,家居装饰商品开发,非标,否,,,绒布袋和礼盒是包装或礼赠组件，不能抢占水晶摆件本体
119,2560370,紫色爱心水晶摆件,家居装饰商品开发,非标,否,,,绒布袋和礼盒是包装或礼赠组件，不能抢占水晶摆件本体
120,2560371,复古情人节吊饰/挂饰,派对庆典商品开发,非标,否,,,打包说明误入产品本体
121,2560372,情人节爱情刮刮卡,派对庆典商品开发,非标,否,,,贴纸只是刮刮卡套装的组件，当前发生组件词抢占本体
124,2560375,生日抽钱盒/现金礼物盒,派对庆典商品开发,非标,否,,,适合任何年龄段是人群描述，不属于产品本体
127,2560378,双向导向梳,美妆个护功能商品开发,标品,否,,规格适配复核,这是剃须或理容设备的导向梳，真实用途优先于替换配件泛类，并应与第126行同类
128,2560379,干发卷发睡眠帽,美妆个护功能商品开发,标品,否,,身体接触材质复核,主价值是干发、卷发和头发护理，不是一般服饰穿戴
129,2560380,假发网/睡帽,服饰功能配件开发,标品,否,,身体接触材质复核,手工编织描述制造结构，不表示消费者DIY；当前被场景词误导方向和标品属性
135,2600228,S925弹簧扣/8字扣,DIY手工商品开发,标品,否,,S925材质标识复核,单个价是采购计价信息，不属于产品本体
146,2600239,2026新年黑金背景布,派对庆典商品开发,非标,否,,,当前本体漏掉黑字并混入型号和材质，改变了主题事实
147,2600240,金属按扣/子母扣,DIY手工商品开发,标品,否,,,供应商打包和费用备注不属于产品本体
155,2600248,针具磁力收纳器（磁性针吸）,DIY手工商品开发,标品,否,,带磁履约及包装复核,胸针是佩戴结构，主商品是用于针具收纳的磁性针吸；当前发生形态词抢占本体
157,2600250,2026春节新年红包,派对庆典商品开发,非标,否,,,当前本体漏掉红字，导致红包变成宽泛新年包
163,2550405,心形饼干模具,厨房餐饮功能商品开发,非标,否,,食品接触材料复核,商品本体是烘焙模具；爱心和花边是造型主题，不能把厨房工具推入玩具方向
166,2550408,生肖马（具体商品形态不明）,待确认开发方向,待复核,是,标题只有节日主题和生肖形象，未说明真实商品载体,,不能用新年场景强制确定方向
169,2550411,未识别（企鹅情侣英文款具体载体不明）,待确认开发方向,待复核,是,标题只有礼赠场景和主题款式，未说明真实商品载体,主题图案及文字IP复核,情人节礼物是场景，企鹅情侣英文是主题或款式，均不能替代产品本体
179,2550421,情人节主题吸管,厨房餐饮功能商品开发,非标,否,,食品接触材料复核,商品本体是饮用吸管；情人节只是主题或场景，不能覆盖厨房餐饮方向
194,2255168,充气篝火,待确认开发方向,待复核,是,标题未说明是派对布景、家居装饰、露营道具还是儿童玩具,,无法只凭充气篝火外形确定唯一方向
199,2560385,蜡烛灯芯中心定位工具,DIY手工商品开发,标品,否,,,这是制蜡专用手工工具；专用工具应按真实DIY用途归类，不应落入通用作业工具
201,2560387,JPC-12/PAC-12专用地网盘,功能维修配件开发,标品,是,标题未说明设备类别、功能和适配关系,规格适配复核,需补充页面或图片确认，避免把未知专用品强行沉淀为正式方向证据
